Pop,Group,Shape,Fill,Color,Size,Transparency
Abazin.HO,modern,16,gray,gray,1,0.8
Abkhasian.HO,modern,16,gray,gray,1,0.8
Adygei.DG,modern,16,gray,gray,1,0.8
Adygei.HO,modern,16,gray,gray,1,0.8
Albanian.DG,modern,16,gray,gray,1,0.8
Albanian.HO,modern,16,gray,gray,1,0.8
Aleut.DG,modern,16,gray,gray,1,0.8
Aleut.HO,modern,16,gray,gray,1,0.8
Altaian.DG,modern,16,gray,gray,1,0.8
Altaian.HO,modern,16,gray,gray,1,0.8
Ami.DG,modern,16,gray,gray,1,0.8
Ami.HO,modern,16,gray,gray,1,0.8
Armenian_Hemsheni.HO,modern,16,gray,gray,1,0.8
Armenian.DG,modern,16,gray,gray,1,0.8
Armenian.HO,modern,16,gray,gray,1,0.8
Atayal.DG,modern,16,gray,gray,1,0.8
Atayal.HO,modern,16,gray,gray,1,0.8
Avar.HO,modern,16,gray,gray,1,0.8
Azeri.HO,modern,16,gray,gray,1,0.8
Balkar.HO,modern,16,gray,gray,1,0.8
Bashkir.HO,modern,16,gray,gray,1,0.8
Basque.DG,modern,16,gray,gray,1,0.8
Basque.HO,modern,16,gray,gray,1,0.8
Belarusian.HO,modern,16,gray,gray,1,0.8
Besermyan.HO,modern,16,gray,gray,1,0.8
Bulgarian.DG,modern,16,gray,gray,1,0.8
Bulgarian.HO,modern,16,gray,gray,1,0.8
Buryat.HO,modern,16,gray,gray,1,0.8
Cambodian.DG,modern,16,gray,gray,1,0.8
Cambodian.HO,modern,16,gray,gray,1,0.8
Chechen.DG,modern,16,gray,gray,1,0.8
Chechen.HO,modern,16,gray,gray,1,0.8
Chukchi.DG,modern,16,gray,gray,1,0.8
Chukchi.HO,modern,16,gray,gray,1,0.8
Chuvash.HO,modern,16,gray,gray,1,0.8
Circassian.HO,modern,16,gray,gray,1,0.8
Croatian.HO,modern,16,gray,gray,1,0.8
Cypriot.HO,modern,16,gray,gray,1,0.8
Czech.DG,modern,16,gray,gray,1,0.8
Czech.HO,modern,16,gray,gray,1,0.8
Dai.DG,modern,16,gray,gray,1,0.8
Dai.HO,modern,16,gray,gray,1,0.8
Darginian.HO,modern,16,gray,gray,1,0.8
Daur.DG,modern,16,gray,gray,1,0.8
Daur.HO,modern,16,gray,gray,1,0.8
Dolgan.HO,modern,16,gray,gray,1,0.8
Dungan.HO,modern,16,gray,gray,1,0.8
earlyXiongnu,earlyXiongnu,15,red,black,2,1
Enets.HO,modern,16,gray,gray,1,0.8
English.DG,modern,16,gray,gray,1,0.8
English.HO,modern,16,gray,gray,1,0.8
Eskimo_ChaplinSireniki.HO,modern,16,gray,gray,1,0.8
Eskimo_Naukan.DG,modern,16,gray,gray,1,0.8
Eskimo_Naukan.HO,modern,16,gray,gray,1,0.8
Estonian.DG,modern,16,gray,gray,1,0.8
Estonian.HO,modern,16,gray,gray,1,0.8
Even.DG,modern,16,gray,gray,1,0.8
Even.HO,modern,16,gray,gray,1,0.8
Evenk_FarEast.HO,modern,16,gray,gray,1,0.8
