Pop,Group,Shape,Fill,Color,Transparency,Size
Abazin.HO,modern,16,Grey,Grey,0.8,1.5
Abkhasian.HO,modern,16,Grey,Grey,0.8,1.5
Adygei.DG,modern,16,Grey,Grey,0.8,1.5
Adygei.HO,modern,16,Grey,Grey,0.8,1.5
Albanian.DG,modern,16,Grey,Grey,0.8,1.5
Albanian.HO,modern,16,Grey,Grey,0.8,1.5
Aleut.DG,modern,16,Grey,Grey,0.8,1.5
Aleut.HO,modern,16,Grey,Grey,0.8,1.5
Altaian.DG,modern,16,Grey,Grey,0.8,1.5
Altaian.HO,modern,16,Grey,Grey,0.8,1.5
Altaian.SG,modern,16,Grey,Grey,0.8,1.5
Ami.DG,modern,16,Grey,Grey,0.8,1.5
Ami.HO,modern,16,Grey,Grey,0.8,1.5
Armenian.DG,modern,16,Grey,Grey,0.8,1.5
Armenian_Hemsheni.HO,modern,16,Grey,Grey,0.8,1.5
Armenian.HO,modern,16,Grey,Grey,0.8,1.5
Armenian.WGA.HO,modern,16,Grey,Grey,0.8,1.5
Atayal.DG,modern,16,Grey,Grey,0.8,1.5
Atayal.HO,modern,16,Grey,Grey,0.8,1.5
Avar.HO,modern,16,Grey,Grey,0.8,1.5
Avar.SG,modern,16,Grey,Grey,0.8,1.5
Azeri.HO,modern,16,Grey,Grey,0.8,1.5
Azeri.WGA.HO,modern,16,Grey,Grey,0.8,1.5
Balkar.HO,modern,16,Grey,Grey,0.8,1.5
Bashkir.HO,modern,16,Grey,Grey,0.8,1.5
Bashkir.SG,modern,16,Grey,Grey,0.8,1.5
Basque.DG,modern,16,Grey,Grey,0.8,1.5
Basque.HO,modern,16,Grey,Grey,0.8,1.5
Belarusian.HO,modern,16,Grey,Grey,0.8,1.5
Besermyan.HO,modern,16,Grey,Grey,0.8,1.5
Bulgarian.DG,modern,16,Grey,Grey,0.8,1.5
Bulgarian.HO,modern,16,Grey,Grey,0.8,1.5
Buryat.HO,modern,16,Grey,Grey,0.8,1.5
Buryat.SG,modern,16,Grey,Grey,0.8,1.5
Cambodian.DG,modern,16,Grey,Grey,0.8,1.5
Cambodian.HO,modern,16,Grey,Grey,0.8,1.5
Chechen.DG,modern,16,Grey,Grey,0.8,1.5
Chechen.HO,modern,16,Grey,Grey,0.8,1.5
Chukchi.DG,modern,16,Grey,Grey,0.8,1.5
Chukchi.HO,modern,16,Grey,Grey,0.8,1.5
Chuvash.HO,modern,16,Grey,Grey,0.8,1.5
Circassian.HO,modern,16,Grey,Grey,0.8,1.5
Croatian.HO,modern,16,Grey,Grey,0.8,1.5
Cypriot.HO,modern,16,Grey,Grey,0.8,1.5
Czech.DG,modern,16,Grey,Grey,0.8,1.5
Czech.HO,modern,16,Grey,Grey,0.8,1.5
Dai.DG,modern,16,Grey,Grey,0.8,1.5
Dai.HO,modern,16,Grey,Grey,0.8,1.5
Darginian.HO,modern,16,Grey,Grey,0.8,1.5
Daur.DG,modern,16,Grey,Grey,0.8,1.5
Daur.HO,modern,16,Grey,Grey,0.8,1.5
Dolgan.HO,modern,16,Grey,Grey,0.8,1.5
Dungan.HO,modern,16,Grey,Grey,0.8,1.5
Dungan.SG,modern,16,Grey,Grey,0.8,1.5
earlyXiongnu,earlyXiongnu,23,White,Black,1,1.5
Enets.HO,modern,16,Grey,Grey,0.8,1.5
English.DG,modern,16,Grey,Grey,0.8,1.5
English.HO,modern,16,Grey,Grey,0.8,1.5
