Analysis.Group.Label,N,Ancient,1240K dataset,HO dataset,PCA
Afanasievo,24,O,O,O,
Afanasievo_Mongolia,2,O,O,O,
AG2,1,O,O,O,
AG3,1,O,O,O,
Alalakh_MLBA,25,O,O,O,
Alan,5,O,O,O,
Altai_MLBA,6,O,O,O,
Anatolia_BA,3,O,O,O,
Anatolia_ChL,1,O,O,O,
Anatolia_N,23,O,O,O,
AR_EN,2,O,O,O,
AR_IA,1,O,O,O,
AR_Xianbei_IA,3,O,O,O,
Armenia_ChL,5,O,O,O,
Armenia_EBA,3,O,O,O,
Armenia_MBA,1,O,O,O,
Arslantepe_LC,17,O,O,O,
Baikal_EBA,23,O,O,O,
Baikal_EN,18,O,O,O,
Balkans_BronzeAge,12,O,O,O,
Balkans_Chalcolithic,14,O,O,O,
Balkans_IronAge,1,O,O,O,
Ban_Chiang,5,O,O,O,
Bell_Beaker_Germany,8,O,O,O,
Bianbian,1,O,O,O,
Boncuklu,5,O,O,O,
Boncuklu.SG,4,O,O,O,
Boshan,1,O,O,O,
Botai_pub,3,O,O,O,
Bustan_BA,10,O,O,O,
Bustan_EN,1,O,O,O,
BZK002,1,O,O,O,
CamlibelTarlasi_LC,9,O,O,O,
centralMongolia_preBA,1,O,O,O,
CentralSteppe_EMBA,2,O,O,O,
Chandman_IA,9,O,O,O,O
Chemurchek_northAlai,2,O,O,O,
Chemurchek_southAltai,2,O,O,O,
CHG,2,O,O,O,
Chokhopani.SG,1,O,O,O,
Chuanyun,1,O,O,O,
Clovis.SG,1,O,O,O,
Corded_Ware_Germany,12,O,O,O,
DevilsCave_N,4,O,O,O,
Dzharkutan1_BA,7,O,O,O,
earlyMed_Turk,7,O,O,O,
earlyMed_Uigur,12,O,O,O,
earlyXiongnu_rest,6,O,O,O,O
earlyXiongnu_west,6,O,O,O,O
eastMongolia_preBA,1,O,O,O,O
Ebla_EMBA,11,O,O,O,
EHG,4,O,O,O,
ElMiron,1,O,O,O,
Fofonovo_EN,4,O,O,O,
Geoksyur_EN,21,O,O,O,
Globular_Amphora,9,O,O,O,
Gonur1_BA,20,O,O,O,
Hajji_Firuz_C,6,O,O,O,
Han_2000BP,2,O,O,O,
HMMH_MN,1,O,O,O,
Hun_TianShan_1700BP,22,O,O,O,
Iberia_ChL,12,O,O,O,
Iberia_EN,4,O,O,O,
Iberia_MN,4,O,O,O,
Iran_ChL,5,O,O,O,
Iran_LN,1,O,O,O,
Iran_N,8,O,O,O,
Israel_C,19,O,O,O,
Jomon,3,O,O,O,
Jordan_EBA,3,O,O,O,
Kangju_1800BP,6,O,O,O,
Karakhanid_TianShan_1100BP,3,O,O,O,
Karasuk.SG,7,O,O,O,
Karluk_TianShan,2,O,O,O,
Kennewick_WA.SG,1,O,O,O,
Khovsgol,14,O,O,O,
Kimak_Kazakhstan_1350BP,1,O,O,O,
Kipchak,2,O,O,O,
Krasnoyarsk_MLBA,16,O,O,O,
LateDorset.SG,1,O,O,O,
lateMed_Khitan,3,O,O,O,
lateMed_Mongol,61,O,O,O,
lateXiongnu,25,O,O,O,O
lateXiongnu_han,8,O,O,O,O
lateXiongnu_sarmatian,13,O,O,O,O
LBK_EN,6,O,O,O,
Levant_N,12,O,O,O,
Liangdao1,1,O,O,O,
Liangdao2,1,O,O,O,
Loebanr_IA,33,O,O,O,
MA1,1,O,O,O,
Man_Bac,8,O,O,O,
McColl_SEA_GR1,2,O,O,O,
McColl_SEA_GR2,6,O,O,O,
McColl_SEA_GR3,5,O,O,O,
McColl_SEA_GR31,2,O,O,O,
McColl_SEA_GR4,4,O,O,O,
McColl_SEA_GR41,1,O,O,O,
